```csv
Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
25,50000,Male,HR,Manager,05/04/2018,D,I feel motivated in my role, because I have learned to communicate more clearly with my team, over the past months.,0,0,6,6,6,0,0,0,,,,,,,,
NULL,65000,Female,Finance,Director,20/02/2020,F,I feel motivated in my role, because I have learned to communicate more clearly with my team, during my time in this role.,5,0,0,0,6,0,0,0,,,,,,,,
35,60000,Female,Sales,Director,15/01/2020,C,I feel motivated in my role, because I have learned to communicate more clearly with my team, as I settled into my responsibilities.,0,6,6,0,6,6,6,0,,,,,,,,
NULL,50000,Female,IT,Manager,05/04/2018,A,I feel motivated in my role, because I have learned to communicate more clearly with my team, while adapting to daily routines.,1,0,0,0,0,0,0,0,,,,,,,,
NULL,NULL,Female,Finance,Manager,15/01/2020,F,I feel motivated in my role, because I have learned to communicate more clearly with my team, through regular collaboration.,5,5,0,0,0,0,0,0,,,,,,,,
NULL,65000,Other,Marketing,Director,25/03/2019,F,I feel motivated in my role, because I have learned to communicate more clearly with my team, while working on assigned tasks.,5,0,0,0,0,0,0,0,,,,,,,,
NULL,50000,Male,Marketing,Clerk,01/12/2019,B,I feel motivated in my role, because I have learned to communicate more clearly with my team, as part of normal operations.,5,0,0,0,0,0,0,0,,,,,,,,
40,50000,Other,HR,Director,25/03/2019,C,I feel motivated in my role, because I have learned to communicate more clearly with my team, during ongoing work cycles.,0,0,6,6,0,0,0,0,,,,,,,,
40,60000,Female,Marketing,Manager,15/01/2020,C,I feel motivated in my role, because I have learned to communicate more clearly with my team, while handling routine duties.,0,0,6,6,0,0,0,0,,,,,,,,
30,NULL,Other,Finance,Assistant,20/02/2020,A,I feel motivated in my role, because I have learned to communicate more clearly with my team, as part of my regular workflow.,6,5,6,0,0,0,6,0,,,,,,,,
25,70000,Male,Marketing,Analyst,01/12/2019,B,MA,0,6,0,6,6,0,0,7,,,,,,,,
NULL,70000,Other,Finance,Assistant,25/03/2019,A,I feel motivated in my role, as I became better at organizing my tasks, during my time in this role.,5,0,0,0,0,0,0,0,,,,,,,,
30,50000,Male,IT,Assistant,05/04/2018,D,I feel motivated in my role, as I became better at organizing my tasks, as I settled into my responsibilities.,0,6,6,0,6,0,6,0,,,,,,,,
25,55000,Other,HR,Manager,20/02/2020,F,I feel motivated in my role, as I became better at organizing my tasks, while adapting to daily routines.,6,0,6,6,0,0,6,0,,,,,,,,
50,NULL,Male,Marketing,Director,25/03/2019,A,I feel motivated in my role, as I became better at organizing my tasks, through regular collaboration.,0,5,6,6,0,6,0,0,,,,,,,,
35,65000,Male,Finance,Clerk,05/04/2018,F,I feel motivated in my role, as I became better at organizing my tasks, while working on assigned tasks.,6,6,0,6,0,0,0,0,,,,,,,,
40,55000,Female,Sales,Assistant,15/01/2020,B,I feel motivated in my role, as I became better at organizing my tasks, as part of normal operations.,0,0,6,6,0,0,0,0,,,,,,,,
50,55000,Male,HR,Director,05/04/2018,D,I feel motivated in my role, as I became better at organizing my tasks, during ongoing work cycles.,0,6,6,0,0,0,0,0,,,,,,,,
25,NULL,Female,IT,Clerk,25/03/2019,B,I feel motivated in my role, as I became better at organizing my tasks, while handling routine duties.,0,5,0,6,0,6,6,0,,,,,,,,
50,50000,Female,Finance,Assistant,25/03/2019,D,I feel motivated in my role, as I became better at organizing my tasks, as part of my regular workflow.,0,0,6,6,0,0,0,0,,,,,,,,
35,50000,Female,IT,Clerk,15/01/2020,D,I feel motivated in my role, after understanding expectations more clearly, over the past months.,6,6,6,0,0,6,0,0,,,,,,,,
25,50000,Other,IT,Director,05/04/2018,F,I feel motivated in my role, after understanding expectations more clearly, during my time in this role.,6,0,6,6,0,6,6,0,,,,,,,,
