Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement
30,55000,Female,HR,Director,2018-04-05,F,I find my daily tasks engaging, as I became better at organizing my tasks, during ongoing work cycles.
25,,Male,HR,Manager,2019-12-01,C,I find my daily tasks engaging, as I became better at organizing my tasks, while handling routine duties.
40,55000,Female,HR,Analyst,2018-04-05,C,I find my daily tasks engaging, as I became better at organizing my tasks, as part of my regular workflow.
25,70000,Male,Finance,Director,2019-12-01,C,I find my daily tasks engaging, after understanding expectations more clearly, over the past months.
50,,Other,Marketing,Manager,2020-02-20,F,I find my daily tasks engaging, after understanding expectations more clearly, during my time in this role.
30,65000,Female,HR,Clerk,2018-04-05,D,I find my daily tasks engaging, after understanding expectations more clearly, as I settled into my responsibilities.
,70000,Male,HR,Assistant,2020-01-15,D,I find my daily tasks engaging, after understanding expectations more clearly, while adapting to daily routines.
40,50000,Male,IT,Assistant,2019-03-25,A,I find my daily tasks engaging, after understanding expectations more clearly, through regular collaboration.
30,65000,Other,Finance,Clerk,2020-02-20,F,I find my daily tasks engaging, after understanding expectations more clearly, while working on assigned tasks.
50,60000,Other,HR,Analyst,2018-04-05,A,I find my daily tasks engaging, after understanding expectations more clearly, as part of normal operations.
40,50000,Other,IT,Director,2019-12-01,F,I find my daily tasks engaging, after understanding expectations more clearly, during ongoing work cycles.
35,50000,Female,Sales,Assistant,2019-12-01,A,I find my daily tasks engaging, after understanding expectations more clearly, while handling routine duties.
25,60000,Male,HR,Clerk,2020-02-20,B,
50,,Other,HR,Clerk,2019-03-25,C,I find my daily tasks engaging, by improving how I plan my work, over the past months.
35,50000,Female,IT,Analyst,2019-12-01,C,I find my daily tasks engaging, by improving how I plan my work, during my time in this role.
30,65000,Female,Finance,Analyst,2020-01-15,D,I find my daily tasks engaging, by improving how I plan my work, as I settled into my responsibilities.
,70000,Female,HR,Manager,2020-02-20,B,I find my daily tasks engaging, by improving how I plan my work, while adapting to daily routines.
40,50000,Other,Sales,Assistant,2018-04-05,C,I find my daily tasks engaging, by improving how I plan my work, through regular collaboration.
25,65000,Other,HR,Manager,2018-04-05,D,I find my daily tasks engaging, by improving how I plan my work, while working on assigned tasks.
